field	cost_type	model_name	name	label1	label2	label3 	label	description
salbaldesign	salaries	salbal	Salaries related to sample, official, provisional and VBM ballots	Ballot layout and design in-house			Ballot layout and design in-house  	Costs to layout, design and proof ballots by in-house staff.
salbaltrans	salaries	salbal	Salaries related to sample, official, provisional and VBM ballots	Ballot translation in-house			Ballot translation in-house  	Costs to translate ballots by in-house staff.
salbalorder	salaries	salbal	Salaries related to sample, official, provisional and VBM ballots	Ballot ordering			Ballot ordering  	Ballot ordering includes preparation of competitive bids, analysis of bids, contract preparation and review, bid award process, and other by in-house staff.
salbalmail	salaries	salbal	Salaries related to sample, official, provisional and VBM ballots	Sample ballot mailing 			Sample ballot mailing   	Sample ballot mailing includes coordinating with USPS, contract with mail vendor, labeling sample ballots, and other ballot mailing activities performed by in-house staff.
salbalother	salaries	salbal	Salaries related to sample, official, provisional and VBM ballots	Other 			Other   	Other in-house labor related to ballots, such as: data entry, quality control, invoice review and payment, etc.
salbaltotal	salaries	salbal	Salaries related to sample, official, provisional and VBM ballots	Total salaries			Total salaries  	Total salaries for in-house staff performing tasks related to sample, official, provisional and VBM ballots, including ballot layout and design, ballot translation, ballot ordering, sample ballot mailing arrangements, and other. 
salbalpsrp	salaries	salbal	Salaries related to sample, official, provisional and VBM ballots	Salaries	Permanent staff - regular pay		Salaries Permanent staff - regular pay 	Permanent staff regular pay for performing tasks related to sample, official, provisional and VBM ballots, including ballot layout and design, ballot translation, ballot ordering, sample ballot mailing arrangements, and other. 
salbalpsop	salaries	salbal	Salaries related to sample, official, provisional and VBM ballots	Salaries	Permanent staff - overtime pay		Salaries Permanent staff - overtime pay 	Permanent staff overtime pay for performing tasks related to sample, official, provisional and VBM ballots, including ballot layout and design, ballot translation, ballot ordering, sample ballot mailing arrangements, and other. 
salbaltsrp	salaries	salbal	Salaries related to sample, official, provisional and VBM ballots	Salaries	Temporary staff - regular pay		Salaries Temporary staff - regular pay 	Temporary staff regular pay for performing tasks related to sample, official, provisional and VBM ballots, including ballot layout and design, ballot translation, ballot ordering, sample ballot mailing arrangements, and other. 
salbaltsop	salaries	salbal	Salaries related to sample, official, provisional and VBM ballots	Salaries	Temporary staff - overtime pay		Salaries Temporary staff - overtime pay 	Temporary staff overtime pay for performing tasks related to sample, official, provisional and VBM ballots, including ballot layout and design, ballot translation, ballot ordering, sample ballot mailing arrangements, and other. 
salbaltotbe	salaries	salbal	Salaries related to sample, official, provisional and VBM ballots	Total benefits - in dollars			Total benefits - in dollars  	Total benefits in dollars for in-house staff performing tasks related to sample, official, provisional and VBM ballots, including ballot layout and design, ballot translation, ballot ordering, sample ballot mailing arrangements, and other.
salbaltotbep	salaries	salbal	Salaries related to sample, official, provisional and VBM ballots	Total benefits - in percent			Total benefits - in percent  	Total benefits in percent for in-house staff performing tasks related to sample, official, provisional and VBM ballots, including ballot layout and design, ballot translation, ballot ordering, sample ballot mailing arrangements, and other.
salbalbeps	salaries	salbal	Salaries related to sample, official, provisional and VBM ballots	Benefits	Permanent staff - in dollars		Benefits Permanent staff - in dollars 	Total benefits in dollars for permanent staff performing tasks related to sample, official, provisional and VBM ballots, including ballot layout and design, ballot translation, ballot ordering, sample ballot mailing arrangements, and other.
salbalbepsp	salaries	salbal	Salaries related to sample, official, provisional and VBM ballots	Benefits	Permanent staff - in percent		Benefits Permanent staff - in percent 	Total benefits in percent for permanent staff performing tasks related to sample, official, provisional and VBM ballots, including ballot layout and design, ballot translation, ballot ordering, sample ballot mailing arrangements, and other.
salbalbets	salaries	salbal	Salaries related to sample, official, provisional and VBM ballots	Benefits	Temporary staff  - in dollars		Benefits Temporary staff  - in dollars 	Total benefits in dollars for temporary staff performing tasks related to sample, official, provisional and VBM ballots, including ballot layout and design, ballot translation, ballot ordering, sample ballot mailing arrangements, and other.
salbalbetsp	salaries	salbal	Salaries related to sample, official, provisional and VBM ballots	Benefits	Temporary staff - in percent		Benefits Temporary staff - in percent 	Total benefits in percent for temporary staff performing tasks related to sample, official, provisional and VBM ballots, including ballot layout and design, ballot translation, ballot ordering, sample ballot mailing arrangements, and other.
salbaltothrs	salaries	salbal	Salaries related to sample, official, provisional and VBM ballots	Total hours worked			Total hours worked  	Total hours worked by in-house staff on tasks related to sample, official, provisional and VBM ballots, including ballot layout and design, ballot translation, ballot ordering, sample ballot mailing arrangements, and other. 
salbalhrsps	salaries	salbal	Salaries related to sample, official, provisional and VBM ballots	Hours worked	Permanent staff		Hours worked Permanent staff 	Hours worked by permanent staff on tasks related to sample, official, provisional and VBM ballots, including ballot layout and design, ballot translation, ballot ordering, sample ballot mailing arrangements, and other. 
